類型,遊憩區名稱,遊客人次（人次）
總    計,-,60201
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,16911
國家級風景特定區,北海遊客中心,4368
國家級風景特定區,西嶼西臺,786
國家級風景特定區,小門地質展示中心,9451
國家級風景特定區,綠蠵龜觀光保育中心,562
國家級風景特定區,七美遊客中心,1749
國家級風景特定區,北寮奎壁山地質公園,13364
國家級風景特定區,望安資訊站,11471
博物館,生活博物館,1539
