類型,遊憩區名稱,遊客人次（人次）
總    計,-,32989
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,7751
國家級風景特定區,北海遊客中心,2397
國家級風景特定區,西嶼西臺,433
國家級風景特定區,小門地質展示中心,4911
國家級風景特定區,綠蠵龜觀光保育中心,22
國家級風景特定區,七美遊客中心,1565
國家級風景特定區,北寮奎壁山地質公園,6580
國家級風景特定區,望安資訊站,6296
博物館,生活博物館,3034
