類型,遊憩區名稱,遊客人次（人次）
總    計,-,193461
國家級風景特定區,澎湖遊客中心,8608
國家級風景特定區,南海遊客中心,44998
國家級風景特定區,北海遊客中心,13306
國家級風景特定區,西嶼西臺,2575
國家級風景特定區,小門地質展示中心,18882
國家級風景特定區,綠蠵龜觀光保育中心,1933
國家級風景特定區,七美遊客中心,34760
國家級風景特定區,北寮奎壁山地質公園,35575
國家級風景特定區,望安資訊站,28435
博物館,生活博物館,4389
