類型,遊憩區名稱,遊客人次（人次）
總    計,-,75858
國家級風景特定區,澎湖遊客中心,458
國家級風景特定區,南海遊客中心,18048
國家級風景特定區,北海遊客中心,3292
國家級風景特定區,西嶼西臺,1030
國家級風景特定區,小門地質展示中心,12654
國家級風景特定區,綠蠵龜觀光保育中心,419
國家級風景特定區,七美遊客中心,7742
國家級風景特定區,北寮奎壁山地質公園,14871
國家級風景特定區,望安資訊站,12837
博物館,生活博物館,4507
