類型,遊憩區名稱,遊客人次（人次）
總    計,-,85549
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,21541
國家級風景特定區,北海遊客中心,5702
國家級風景特定區,西嶼西臺,1062
國家級風景特定區,小門地質展示中心,9857
國家級風景特定區,綠蠵龜觀光保育中心,1147
國家級風景特定區,七美遊客中心,14349
國家級風景特定區,北寮奎壁山地質公園,14205
國家級風景特定區,望安資訊站,17182
博物館,生活博物館,504
