類型,遊憩區名稱,遊客人次（人次）
總    計,-,220559
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,53614
國家級風景特定區,北海遊客中心,16676
國家級風景特定區,西嶼西臺,2769
國家級風景特定區,小門地質展示中心,19288
國家級風景特定區,綠蠵龜觀光保育中心,2736
國家級風景特定區,七美遊客中心,46978
國家級風景特定區,北寮奎壁山地質公園,42410
國家級風景特定區,望安資訊站,33291
博物館,生活博物館,2797
