類型,遊憩區名稱,遊客人次（人次）
總    計,-,38351
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,6401
國家級風景特定區,北海遊客中心,1967
國家級風景特定區,西嶼西臺,223
國家級風景特定區,小門地質展示中心,12431
國家級風景特定區,綠蠵龜觀光保育中心,43
國家級風景特定區,七美遊客中心,1595
國家級風景特定區,北寮奎壁山地質公園,6028
國家級風景特定區,望安資訊站,6354
博物館,生活博物館,3309
