類型,遊憩區名稱,遊客人次（人次）
總    計,-,50097
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,14693
國家級風景特定區,北海遊客中心,4737
國家級風景特定區,西嶼西臺,491
國家級風景特定區,小門地質展示中心,4842
國家級風景特定區,綠蠵龜觀光保育中心,506
國家級風景特定區,七美遊客中心,6561
國家級風景特定區,北寮奎壁山地質公園,6643
國家級風景特定區,望安資訊站,11003
博物館,生活博物館,621
