類型,遊憩區名稱,遊客人次（人次）
總計,-,"271,731"
國家級風景特定區,澎湖遊客中心,0
國家級風景特定區,南海遊客中心,"71,086"
國家級風景特定區,北海遊客中心,"16,309"
國家級風景特定區,西嶼西臺,"4,889"
國家級風景特定區,小門地質展示中心,"25,624"
國家級風景特定區,綠蠵龜觀光保育中心,"2,532"
國家級風景特定區,七美遊客中心,"47,114"
國家級風景特定區,北寮奎壁山地質公園,"59,229"
國家級風景特定區,望安資訊站,"40,090"
博物館,生活博物館,"4,858"
